Page	Comments	Type	Name	Sign	PQ	Symb	Link	Comments	ID		Notes	
131	    (0), ERASE LIST (1) WHEN THRU.				40	H0			M007R010			
131	    H5+ MEANS OUTPUT (0) IS SOL'N.				10	9-100			M007R020			
131	    H5- MEANS NO OUTPUT, NO SOL'N.					J100			M007R030			
131						J5			M007R035			
131					30	W0			M007R040			
131	IF NO PROOF, ERASE METHOD LIST.				70	J71			M007R045			
131	ELSE SAVE PROOF AND ERASE LIST.					J6	J71		M007R050			
131	9-100 SUBPROCESS, APPLY METHOD (0)		9-100		11	W0			M007R060			
131	      TO PROBLEM 1W0.					J6			M007R070			
131	REVERSE H5 FOR GENERATOR.					J1	J5		M007R080			
131		1							R			
131	M8 CREATE METHOD LIST FOR (0).		M8		10	L7			M008R000			
131	COPY REGULAR LIST.					J73			M008R010			
131						J50			M008R020			
131	TEST IF ORIGINAL PROBLEM.					J130			M008R030			
131	     IF NOT, NO SPECIAL METHODS.				70	9-1			M008R040			
131	     IF YES,				11	W0			M008R050			
131					10	L6			M008R070			
131	COPY SPECIAL LIST.					J73			M008R080			
131	INSERT AFTER HEAD OF REGULAR LIST.					J76			M008R090			
131	SET UP OUTPUT AND QUIT.				51	W0	J30		M008R100			
131			9-1		11	W0	J30		M008R110			
131		1							R			
131	M11 DETACHMENT METHOD FOR PROB (0).		M11			J45			M011R000			
131	    ADD NEW SUBPROBLEMS TO UNTRIED				60	W1		1W1=PROB	M011R010			
131	    LIST IF CAN.					J81			M011R020			
131	H5+ MEANS OUTPUT (0) IS A				70	J35			M011R030			
131	    SOLUTION.				60	W0		1W0=PRBMEX	M011R040			
131	    H5- MEAN NO SOLUTION, NO OUTPT				50	L5		1L5=L4	M011R050			
131					11	K6		1K6=IMPLY	M011R060			
131	FIND IMPLIES MAPS.					J10			M011R070			
131					70	J35			M011R080			
131	FIND MAP OF RIGHTSIDES OF MAIN					J82			M011R090			
131	CONNECTIVE IMPLIES.				70	J35			M011R100			
131					11	W1			M011R110			
132	GET LIST OF FEASIBLE THEOREMS.					J6			M011R120			
132	SAVE LIST FOR ERASURE.					M63			M011R130			
132					60	W5			M011R140			
132	GENERATE FEASIBLE THEOREMS.				10	9-100			M011R150			
132						J100			M011R160			
132	CLEAN UP AND				11	W5		1W5=THMLST	M011R170			
132	REVERSE H5 AFTER GENERATOR.					J71			M011R180			
132	9-100 SUBPROCESS.					J5	J35		M011R190			
132	TRY PROOF WITH THEOREM (0).		9-100		60	W2		1W2=THM	M011R200			
132					11	W1			M011R210			
132	MAKE FREE VARIABLES DISJOINT				11	W2			M011R220			
132	FIND RIGHT SUBSEGMENT OF THM					M110			M011R230			
132						P14			M011R240			
132					70	J4			M011R250			
132	MATCH, MAKE THM RIGHT LIKE PROB.				11	W0			M011R260			
132						M113		( 1 ) =THMRT	M011R270			
132					70	J4			M011R280			
132					60	W3		1W3=SUBSTL	M011R290			
132	FIND THM LEFT SUBSEGMENT.				11	W2			M011R300			
132						P13			M011R310			
132					70	9-101		(0) =THMLFT	M011R320			
132	MAKE NEW TEX FROM COPY OF ThMLFT.					P17			M011R340			
132						P24			M011R350			
132					60	W4		1W4=NEWTEX	M011R360			
132	SUBSTITUTE INTO NEWT EX FROM (1)					M115			M011R370			
132	ERASE SUBSTL.					9-101			M011R380			
132	ASSIGN DERIVATION				11	W4		NEWPROBLEM	M011R390			
132					11	W1		PROBLEM	M011R400			
132					11	W2		THEOREM	M011R410			
132	COMPLETE NEW SUBPROBLEM				10	M11			M011R420			
132	DESCRIPTION AND MEASURE UTILITY.					M19			M011R430			
132	H5- MEANS NEW PROBLEM WAS ERASED.				70	J4			M011R440			
132	TRY SUBSTITUTION, OUTPUT SOL'N.					M12	J5		M011R460			
132			9-101		11	W3			M011R470			
132						J72	J4		M011R480			
132		1						R				
132	M12 SUBSTITUTION METHOD FOR		M12			J43			M012R000			
132	PROBLEM (0). H5+ MEANS				60	W1		1W1=PROB	M012R010			
132	OUTPUT (0) IS A SOLUTION					J81			M012R020			
132	H5- MEANS NO OUTPUT.				70	J33			M012R030			
132					60	W0		1W0=PRBMEX	M012R040			
132					50	K11			M012R050			
132	TALLY SUBSTITUTION COUNTER.					J125			M012R060			
132					51	W1			M012R070			
132					10	L4			M012R080			
132	GET A LIST OF FEASIBLE THEOREMS.					M63			M012R090			
132	SAVE THE LIST FOR ERASURE.				60	W3		1W3=THMLST	M012R100			
132					10	9-100			M012R110			
132	GENERATE THEOREMS.					J100			M012R120			
132					11	W3			M012R130			
132	ERASE LIST OF THEOREMS.					J71			M012R140			
133	CLEAN-UP AND REVERSE H5.					J33	J5		M012R150			
133	9-100 SUBPROCESS, TRY PROBLEM MEX		9-100		60	W2		1W2=THM	M012R160			
133	   1W0 WITH THEOREM (0).				11	W1			M012R170			
133					11	W2			M012R180			
133	MAKE FREE VARIABLES DISJOINT.					M110			M012R190			
133	FIND MAIN EXPRESSION OF THEOREM.					J81			M012R200			
133					70	J4			M012R210			
133					11	W0			M012R220			
133	TEST FOR MATCH.					M114			M012R230			
133	IF H5-, SET + FOR GENERATOR,				70	J4			M012R240			
133					11	W1			M012R250			
133					11	W2			M012R260			
133	OTHERWISE ASSIGN PROOF				10	Q13			M012R270			
133	AND OUTPUT SUCCESSFUL PROBLEM 1W1					J11			M012R280			
133	AS SOLUTION. QUIT WITH H5- FOR GEN.				11	W1	J3		M012R290			
133		1						R				
133	M13 REPLACEMENT METHOD FOR PROB (0)		M13			J46			M013R000			
133	    ADD NEW SUBPROBLEMS TO UNTRIED				60	W1		1W1=PROB	M013R010			
133	    LIST IF CAN.					J81			M013R020			
133	    H5+ MEANS OUTPUT (0) IS A				70	J36			M013R030			
133	    SOLUTION.				60	W0		1W0=PRBMEX	M013R040			
133	    H5- MEANS NO SOL'N, NO OUTPUT.				50	L5		1L5=L4	M013R050			
133					11	K5		1K5=DEFEQ	M013R060			
133	FIND DEFINITIONAL EQUIVALENCE MAPS.					J10			M013R070			
133					70	J36			M013R080			
133					60	W5		1W5=DEFMPS	M013R090			
133	FIND MAP OF LEFT SIDE OF DEFEQ.					J81			M013R100			
133					70	9-10			M013R110			
133					11	W1			M013R120			
133						J6			M013R130			
133	GET A LIST OF FEASIBLE DEFINITIONS.					M63			M013R140			
133	SAVE LIST FOR ERASURE.				60	W6		1W6=FSBLS	M013R150			
133	TRY LEFT SIDES.				10	9-100			M013R160			
133	GENERATE FEASIBLE DEFINITIONS.					J100			M013R170			
133					11	W6			M013R180			
133	ERASE FEASIBLE LIST.					J71			M013R190			
133	REVERSE H5 FROM GENERATOR.					J5			M013R200			
133	QUIT IF PROOF IN H0, OR TRY RIGHTS.				70	9-10	J36		M013R210			
133			9-10		11	W5			M013R220			
133	TRY MAP OF RIGHT SIDES OF DEFEQ.					J82			M013R230			
133					70	J36			M013R240			
133					11	W1			M013R250			
133						J6			M013R260			
133	GET A LIST OF FEASIBLE DEFINITIONS.					M63			M013R270			
133	SAVE LIST.				60	W6		1W6=FSBLS	M013R280			
133	TRY RIGHT SIDES.				10	9-200			M013R290			
133	GENERATE FEASIBLE DEFINITIONS.					J100			M013R300			
133					11	W6			M013R310			
133	ERASE FEASIBLE LIST.					J71			M013R320			
133	REVERSE H5, CLEAN UP AND QUIT.					J5	J36		M013R330			
133	TRY LEFT SIDE OF (0) W/1W0.		9-100		60	W2		1W2=DEF	M013R340			
134					11	W1			M013R350			
134					11	W2			M013R360			
134	MAKE FREE VARIABLES DISJOINT.					M110			M013R370			
134	FIND LEFT SUB SEG OF DEF.					P13			M013R380			
134					70	J4			M013R390			
134					11	W0			M013R400			
134	MATCH, MAKE DEF LIKE PROB IF CAN.					M113			M013R410			
134					70	J4			M013R420			
134					60	W3		1W3=SUBSTL	M013R430			
134					11	W2			M013R440			
134	FIND RIGHT SIDE OF DEFINITION.					P14			M013R445			
134	IF NONE,				70		9-300		M013R450			
134	ERASE SUBST. LIST, QUIT + FOR GEN.					J72	J4		M013R455			
134	TRY RIGHT SIDE OF (0) W/1WO.		9-200		60	W2		1W2=DEF	M013R460			
134					11	W1			M013R470			
134					11	W2			M013R480			
134	MAKE FREE VARIABLES DISJOINT.					M110			M013R490			
134	FIND RIGHT SUB SEG OF DEF.					P14			M013R500			
134					70	J4			M013R510			
134					11	W0			M013R520			
134	MATCH, MAKE DEF LIKE PROB IF CAN.					M113			M013R530			
134					70	J4			M013R540			
134					60	W3		1W3=SUBSTL	M013R550			
134					11	W2			M013R560			
134	FIND LEFT SIDE OF DEFINITION.					P13			M013R565			
134	IF NONE,				70		9-300		M013R570			
134	ERASE SUBST. LIST, QUIT + FOR GEN.					J72	J4		M013R575			
134	MAKE SUBPROB FROM SEGMENT (0)		9-300			P17			M013R580			
134	WITH SUBSTITUTION LIST (1)					P24			M013R590			
134					60	W4		1W4=NEWTEX	M013R600			
134	SUBSTITUTE INTO NEWTEX FROM SUBSTL.					M115			M013R610			
134						9-301			M013R620			
134					11	W4			M013R630			
134					11	W1			M013R640			
134					11	W2			M013R650			
134	ASSIGN DERIVATION, ADD FOUND LIST, MEASURE UTILITY, ERASE IF NO GOOD.				10	M13			M013R660			
134						M19			M013R670			
134	TRY SUBSTITUTION, H5+ OUTPUT PROOF.				70	J4			M013R680			
134						M12	J5		M013R700			
134	ERASE SUBSTITUTION LIST.		9-301			W3			M013R710			
134						J72	J4		M013R720			
134		1							R			
134	M14 FORWARD CHAINING METHOD FOR		M14			J44			M014R000			
134	   PROBLEM (U). ADDS NEW SUBPROBS				60	W1		1W1=PROB	M014R010			
134	   TO UNTRIED LIST IF CAN.					P13			M014R020			
134	   H5+ MEANS OUTPUT (0) IS				70	J34			M014R030			
134	   SOLUTION.				60	9-1			M014R040			
134	   H5- MEANS NO SOLUTION, NO OUTPT				51	W1			M014R050			
134	FIND MAIN CONNECTIVE OF PROB.					P16			M014R060			
134					70	J34			M014R070			
134					10	L5			M014R080			
135						J6			M014R090			
135	FIND APPROPRIATE THEOREM MAPS.					J10			M014R100			
135					70	J34			M014R110			
135	FIND MAP OF LEFT SIDES.					J81			M014R120			
135					70	J34			M014R130			
135	INPUT FAKE TEX.				10	9-0			M014R140			
135						J6			M014R150			
135	GET FEASIBLE THEOREM LEFT SIDES.					M63			M014R160			
135					60	W0		1W0=FSFLS	M014R170			
135	TRY FEASIBLE THM LEFTS WITH				10	9-1			M014R180			
135	PROBLEM LEFT. GENERATE FSBLS.					J100			M014R190			
135					11	W0			M014R200			
135	ERASE LIST OF FEASIBLES.					J71			M014R210			
135						J5	J34		M014R220			
135	FAKE TEX . . . 9-1 HOLDS MEX.		9-0			0	9-1		M014R230			
135	9-100 SUBPROCESS, TRY LEFT SIDES.		9-100		60	W2		1W2=THM	M014R240			
135					11	W1		1W1=PROB	M014R250			
135					11	W2			M014R260			
135	MAKE FREE VARIABLES DISJOINT.					M119			M014R270			
135	FIND LEFT SEGMENT OF THY TEX.					P13			M014R280			
135					70	J4			M014R290			
135	INPUT PROB LEFT				11	9-1			M014R300			
135	MATCH, OUTPUT LIST OF SUBSTITUTIONS					M113			M014R310			
135	WILL MAKE THM LIKE PROB IF CAN.				70	J4			M014R320			
135					60	W3		1W3=SUBSTL	M014R330			
135					51	W1			M014R340			
135	FIND RIGHT SIDE OF PROB					P14			M014R350			
135					70	9-101			M014R360			
135					11	W2			M014R370			
135	FIND RIGHT SIDE OF THEOREM.					P14			M014R380			
135					70	9-102			M014R390			
135	CREATE NEW TEX WITH COPIES.					P22			M014R400			
135					60	W4		1W4=NEWTEX	M014R405			
135	        THM LEFT, PROB RIGHT.				11	W3			M014R410			
135						J6			M014R420			
135	SUBSTITUTE INTO NE TEX.					M115			M014R430			
135	ERASE SUBSTL.					9-101			M014R510			
135					11	W4			M014R520			
135					11	W1			M014R530			
135					11	W2			M014R540			
135					10	M14			M014R550			
135	ASSIGN DERIVATION,ADD TO FOUND LIST					M19			M014R560			
135	MEASURE UTILITY, ERASE IF NO, GOOD.				70	J4			M014R570			
135	TRY SUBSTITUTION, H5+ OUTPUT PROOF.					M12	J5		M014R590			
135			9-102		30	H0			M014R600			
135	ERASE SUBSTITUTION LIST.		9-101		11	W3			M014R610			
135						J72	J4		M014R620			
135		1							R			
135	Ml5 BACKWARD CHAINING METHOD FOR		M15			J44			M015R000			
135	   PROBLEM (0). ADDS NEW SUBPROBS				60	W1		1W1=PROB	M015R010			
135	   TO UNTRIED LIST IF CAN.					P14			M015R020			
136	H5+ MEANS OUTPUT (0) IS A				70	J34			M015R030			
136	SOLUTION.				60	9-1		9-0=FAKTEX	M015R040			
136	H5- MEANS NO SOLUTION, NO OUTPT				50	L5		L5 IS MAP	M015R050			
136					11	K6		1K6=IMPLY	M015R060			
136	FIND APPROPRIATE MAPS.					J10			M015R070			
136					70	J34			M015R080			
136	FIND MAP OF RIGHT SIDES.					J82			M015R090			
136					70	J34			M015R100			
136					10	9-0			M015R110			
136						J6			M015R120			
136	GET FEASIBLE THEOREM RIGHT SIDES.					M63			M015R130			
136					60	W0		1W0=FSBLS	M015R140			
136	TRY FEASIBLE THM RIGHTS WITH				10	9-100			M015R150			
136	PROBLEM RIGHT. GENERATE FSBLS.					J100			M015R160			
136					11	W0			M015R170			
136	ERASE LIST OF FEASIBLES.					J71			M015R180			
136						J5	J34		M015R190			
136	FAKE TEX . . . 9-1 HOLDS MEX.		9-0			0	9-1		M015R200			
136	9-100 SUBPROCESS, TRY RIGHT SIDES.		9-100		60	W2		1W2=THM	M015R210			
136					11	W1			M015R220			
136					11	W2			M015R230			
136	MAKE FREE VARIABLES DISJOINT.					M110			M015R240			
136	FIND RIGHT SEGMENT OF THE TEX.					P14			M015R250			
136					70	J4			M015R260			
136	INPUT PROB RIGHT.				60	9-1			M015R270			
136	MATCH, OUTPUT LIST OF SUBSTITUTIONS					M113			M015R280			
136	WILL MAKE THM LIKE PROB IF CAN.				70	J4			M015R290			
136					60	W3		1W3=SUBSTL	M015R300			
136					51	W2			M015R310			
136	FIND LEFT SIDE OF THEOREM.					P13			M015R320			
136					70	9-101			M015R330			
136					11	W1			M015R340			
136	FIND LEFT SIDE OF PROBLEM.					P13			M015R350			
136					70	9-102			M015R360			
136	CREATE NEW TEX WITH COPIES.					P22			M015R370			
136					60	W4		1W4=NEWTEX	M015R375			
136	PROB ON LEFT THM ON RIGHT.				11	W3			M015R380			
136						J6			M015R390			
136	SUBSTITUTE INTO NEW TEX.					M115			M015R400			
136	ERASE SUBSTL					9-101			M015R480			
136					11	W4			M015R490			
136					11	W1			M015R500			
136					11	W2			M015R510			
136	ASSIGN DERIVATION, ADD TO FOUND LIST				10	M15			M015R520			
136	MEASURE UTILITY , ERASE IF NO GOOD.					M19			M015R530			
136					70	J4			M015R540			
136	TRY SUBSTITUTION, H5+ OUTPUT PROOF.					M12	J5		M015R560			
136			9-102		30	H0			M015R570			
136	ERASE SUBSTITUTION LIST.		9-101		11	W3			M015R580			
136						J72	J4		M015R590			
136		1							    R			
137	M16 SUBLEVEL REPLACEMENT METHOD FOR		M16			J48			M016R000			
137	    PROBLEM (0). ADD ALL NEW				60	W0		1W0=PROB	M016R010			
137	    SUBPROBLEMS TO UNTRIED LIST.				50	L5			M016R020			
137	    H5-MEANS NO SOL'N, NO OUTPUT.				11	K5			M016R030			
137	    H5+MEANS (0) IS A SOL'N.					J10			M016R040			
137	(M16 TRIES ONE LEVEL AT A TIME)				70	J38			M016R050			
137					60	W2			M016R060			
137	FIND MAP OF DEF. LEFT SIDES.					J81			MO16R070			
137	    IF NONE, QUIT-.				70	J38			M016R080			
137					60	W1		1W1=LFTMAP	M016R090			
137					51	W2			M016R100			
137	FIND MAP OF DEF. RIGHT SIDES.					J82			M016R110			
137	    IF NONE, QUIT-.				70	J38			M016R120			
137					60	W2		1W2=RTMAP	M016R130			
137					51	W0			M016R140			
137					40	H0			M016R142			
137					10	Q17			M016R145			
137	CLEAR LEVEL					J14			M016R148			
137	FIND LOWEST LEVEL IN PROBLEM.					Q17			M016R150			
137	     IF NONE, QUIT-. IF YES,				70	J38			M016R160			
137					20	W3		1W3=CURLEV	M016R165			
137	BUMP 1W3, TEST IF GREATER THAN 1.		9-3			9-20			M016R170			
137	     IF NOT, QUIT-.				70	J38			M016R175			
137	     IF YES,		9-10		11	W0			M016R180			
137	COPY PROBLEM FOR REPLACEMENT.					P25			M016R190			
137					60	W4		1W4=CPROB	M016R200			
137			9-11		10	J3			M016R210			
137	SET'NEW SUBPROBLEM FLAG' TO NO.				60	W5		1W5=FLAG	M016R220			
137					50	9-100			M016R230			
137	GENERATE SEGMENT LOCATIONS.					P26			M016R240			
137	EXECUTE 'NEW SUBPROBLEM FLAG'				1	W5			M016R250		PQ=01, BUT LEADING 0 LOST; MAYBE PQ COLUMN SHOULD BE TEXT FORMAT	
137	    IF YES, GO FINISH IT UP.				70		9-1		M016R260			
137	BUMP 1W3 AND TEST IF GREATER THAN 1					9-20			M016R270			
137	    IF NOT, GO CLEAN UP, QUIT-.				70	9-2			M016R280			
137	    IF GREATER, COPY 1W4 AND					J120			M016R290			
137					10	Q17			M016R300			
137					11	W4			M016R310			
137	ASSIGN COPY TO PROBLEM COPY.					J11			M016R320			
137					11	W3			M016R330			
137	    LOOP FOR NEXT LEVEL.				11	W4	9-11		M016R340			
137	    ALL DONE,		9-2		11	W4			M016R350			
137	ERASE LEFTOVER COPY, QUIT.					J72	J38		M016R360			
137	SET UP DERIVATION ASSOCIATIONS,		9-1		11	W4			M016R370			
137					11	W0			M016R380			
137	      AND				10	/16			M016R390			
137					10	M16			M016R400			
137	FINISH BUILDING THE NEW SUBPROBLEM.					M19			M016R410			
137	    IF NO GOOD, SET UP TO LOOP.				70	9-3			M016R420			
137	    IF GOOD, TRY SUBSTITUTION.					M12			M016R430			
137	     IF PROOF, QUIT+. IF NOT, LOOP.				70	9-3	J38		M016R440			
137	9-20 SUBPROCESS--BUMP AND TEST		9-20		10	N2			M016R470			
138	    IF 1W3 GREATER THAN 1.				11	W3			M016R480			
138	TEST IF 1W3 GREATER THAN N2.					J115			M016R490			
138	    IF NO, QUIT SUBPROCESS--.				70	0		NO OUTPUT	M016R500			
138	    IF YES,				10	N1			M016R510			
138					11	W3			M016R520			
138	SUBTRACT 1, QUIT SUBPROCESS+.				11	W3	J111	OUTPUT 1W3	M016R530			
138	9-100 SUBPROCESS FOR SUBSEGMENT		9-100		60	W6		1W6=SEGLOC	M016R540			
138	    REPLACEMENT IN LOCATION (0).				51	W1			M016R550			
138					12	W6			M016R560			
138	CREATE LIST OF FEASIBLE DEFS.					M62			M016R570			
138	SAVE LIST FOR LATER ARASURE.				40	H0			M016R580			
138					10	9-200			M016R590			
138	GENERATE DEFS FOR LEFT SIDE MATCH.					J100			M016R600			
138	    IF MATCHED, GO CLEAN UP.				70	9-101			M016R610			
138	    IF FAILED, ERASE OLD LIST,					J71			M016R620			
138					11	W2			M016R630			
138					12	W6			M016R640			
138	CREATE NEW LIST OF FEASIBLE DEFS.					M62			M016R650			
138	SAVE LIST FOR LATER ERASURE.				40	H0			M016R660			
138					10	9-300			M016R670			
138	GENERATE DEFS FOR RIGHT SIDE MATCH.					J100			M016R680			
138	ERASE LIST AND QUIR + FOR GEN.		9-101			J71	J4		M016R690			
138	9-200 SUBPROCESS, TRY REPLACEMENT		9-200		60	W7		1W7=DEF	M016R700			
138	    BY MATCHING SEGMENT TO				11	W4		1W4=CPROB	M016R710			
138	    LEFT SIDES.				11	W7			M016R720			
138	MAKE FREE VARIABLES DISJOINT.					M110			M016R730			
138	FIND LEFT SEGMENT OF DEF.					P13			M016R740			
138	    IF NONE, QUIT + FOR GEN.				70	J4			M016R750			
138	    IF FOUND,				12	W6			M016R760			
138	MATCH SEGMENT TO LEFT SIDE.					M113			M016R770			
138	    IF NO MATCH, QUIT + FOR GEN.				70	J4			M016R780			
138	    IF MATCHED, SAVE LIST,				60	W8		1W8=SUBST	M016R790			
138					51	W7			M016R800			
138	FIND RIGHT SIDE OF DEF.					P14	9-301		M016R810			
138	9-300 SUBPROCESS, TRY REPLACEMENT		9-300		60	W7		1W7=DEF	M016R820			
138	    BY MATCHING SEGMENT TO				11	W4		1W4=CPROB	M016R830			
138	    RIGHT SIDES.				11	W7			M016R840			
138	MAKE FREE VARIABLES DISJOINT					M110			M016R850			
138	FIND RIGHT SEGMENT OF DEF.					P14			M016R860			
138	    IF NONE, QUIT + FOR GEN.				70	J4			M016R870			
138	    IF FOUND,				12	W6			M016R880			
138	MATCH SEGMENT TO RIGHT SIDE.					M113			M016R890			
138	    IF NO MATCH, QUIT + FOR GEN.				70	J4			M016R900			
138	    IF MATCHED, SAVE LIST,				60	W8		1W8=SUBST	M016R910			
138					51	W7			M016R920			
138	FIND LEFT SIDE OF DEF.					P13			M016R930			
138	    IF NONE, CLEAN UP, QUIT +.		9-301		70	9-302			M016R935			
138	    IF FOUND, COPY IT,					J74			M016R940			
138					12	W6			M016R945			
138	ERASE OLD SEGMENT, AND					J72			M016R950			
138	REPLACE OLD WITH COPY FROM DEF.				21	W6			M016R955			
139					11	W8			M016R960			
139					11	W4			M016R965			
139	SUBSTITUTE IN PROB TEX PER 1W8.					M115			M016R970			
139					10	J4			M016R975			
139	SET 'NEW SUBPROBLEM FLAG' TO ON.				20	W5			M016R980			
139	    SET H5 TO QUIT-.					J4			M016R985			
139			9-302		11	W8			M016R990			
139	ERASE 1W8, REVERSE H5 FOR GEN.					J72	J5		M016R995			
139		1							    R			
139	M17 SUBLEVEL REPLACEMENT METHOD FOR		M17			J48			M017R000			
139	    PROBLEM (0). ADD ALL NEW				60	W0		1W0=PROB	M017R010			
139	    SUBPROBLEMS TO UNTRIED LIST.				50	L5			M017R020			
139	    H5-MEANS NO SOL'N, NO OUTPUT				11	K5			M017R030			
139	    H5+MEANS (0) IS A SOL'N.					J10			M017R040			
139	(M17 TRIES ALL LEVELS A ONCE)				70	J38			M017R050			
139					60	W2			M017R060			
139	FIND MAP OF DEF. LEFT SIDES.					J81			M017R070			
139	    IF NONE, QUIT-.				70	J38			M017R080			
139					60	W1		1W1=LFTMAP	M017R090			
139					51	W2			M017R100			
139	FIND MAP OF DEF. RIGHT SIDES.					J82			M017R110			
139	    IF NONE, QUIT-.				70	J38			M017R120			
139					60	W2		1W2=RTMAP	M017R130			
139					51	W0			M017R140			
139					40	H0			M017R142			
139					10	Q17			M017R145			
139	CLEAR LEVEL					J14			M017R148			
139	FIND LOWEST LEVEL IN PROBLEM.					Q17			M017R150			
139	     IF NONE, QUIT-. IF YES,				70	J38			M017R160			
139					20	W3		1W3=CURLEV	M017R165			
139	BUMP 1W3, TEST IF GREATER THAN 1.		9-3			9-20			M017R170			
139	     IF NOT, QUIT-.				70	J38			M017R175			
139	     IF YES,		9-10		11	W0			M017R180			
139	COPY PROBLEM FOR REPLACEMENT.					P25			M017R190			
139					60	W4		1W4=CPROB	M017R200			
139			9-11		10	J3			M017R210			
139	SET'NEW SUBPROBLEM FLAG' TO NO.				60	W5		1W5=FLAG	M017R220			
139					50	9-100			M017R230			
